项目,文件名,日期,原文件名,大小,描述,置信度,时长秒,分辨率,帧率,有无音轨,重复于,可用起点秒,可用终点秒,功能位,画质等级,画面元素,镜头特征,工序阶段,脱敏风险,缩略图路径,标注执行者,标注日期,复核状态
化工群,化工_现场施工_260531_002.jpg,260531,0faeaf06829d8500a5200d4edc9e98e8.jpg,773607,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260624_001.jpg,260624,0fc4bbebf26849bfae3e8549531aa204.jpg,448002,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260625_002.jpg,260625,0fddb0c54dc4d9e4b4e7b675a01582b2.jpg,223865,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260610_002.jpg,260610,0fecf3790570f6fd0a3fba79f6186e6c.jpg,402300,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260613_004.jpg,260613,0fed0dcfd465c16c1e068e766924b660.jpg,399619,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵2#污水池清淤_260715_001.jpg,260715,0ffaf3619a558c40e280d99b0461ea0a.jpg,220519,氯化铵2#污水池清淤,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_氯化铵2#污水池清淤_260715_002.jpg,260715,101b05bdd9fc2a34de986139419af969.jpg,373331,氯化铵2#污水池清淤,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260620_001.jpg,260620,10fdab9abe59c5dcf1d7e046fb5578f6.jpg,467309,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260714_001.jpg,260714,1142106be79f707bb5dabcb08b468251.jpg,319194,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260708_003.jpg,260708,1163e78ad706bf0cefd214a9c88ff008.jpg,1410725,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_检查井盖板_260808_001.jpg,260808,1172e8c5d202ff6cf40d103c7d5a4f9a.jpg,527983,检查井盖板,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260716_006.jpg,260716,119aaca3805713bdcb629a30dede5719.jpg,659024,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_纯碱3号池子_260626_001.jpg,260626,122f99c54ccd0ce70ade32b746f78338.jpg,485276,纯碱3号池子,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260629_001.jpg,260629,12391cf14da4a65dec24259c7f795765.jpg,830408,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260625_003.jpg,260625,124937816107b181336a688e1b21d48c.jpg,350348,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260612_002.jpg,260612,125dcf32bc2cab585b635b73004197b0.jpg,500455,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_006.jpg,260717,12747f3204f11ee49081dee6a23a55e5.jpg,759500,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260621_002.jpg,260621,12a3b8945e22b6cce78faaefa48ef112.jpg,324034,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵8-14#盖板_260816_003.jpg,260816,12fa5eb36df3ab740c8ed1a4774dafa6.jpg,350096,氯化铵8-14#盖板,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
